#KEY	ui32	00 00 07 3a
D2CF	ui16	00 00
D2CR	ui16	00 00
D2CS	ui8 	00
D2CT	ui8 	00
D2CU	ui8 	00
D2CX	ui8 	00
D2CY	ui8 	00
D2CZ	ui8 	00
D2Cb	ui8 	00
D2Cc	ui16	00 00
D2Cf	ui16	00 00
D2Ci	ui16	00 00
D2Cm	ui16	00 00
D2Cn	ui16	00 00
D2Cr	ui16	00 00
D2Cs	ui16	00 00
D2Ct	ui16	00 00
D2Cv	ui16	00 00
D2Cw	ui16	00 00
D2DA	hex_	00 0b
D2DE	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2DI	ui8 	05
D2DP	hex_	00 00 00 00 00 00 00 00
D2DR	flag	01
D2Dp	flag	00
D2EC	ui8 	00
D2EF	hex_	00 00 00 00
D2Ep	flag	00
D2FC	ui32	00 00 00 00
D2FS	hex_	00
D2FV	hex_	00 30 63 00
D2IQ		
D2IR	ui16	00 00
D2JA	ui32	4c 1d 00 00
D2JB	ui32	4c 1d 00 00
D2JD	{jst	4c 1d 00 00 4c 1d 00 00 4c 1d 4c 1d 00 00 00 00 4c 1d 00 00 00
D2JE	ui32	00 00 00 00
D2JF	ui32	00 00 00 00
D2JG	ui32	00 00 00 00
D2JI	flt 	00 00 00 00
D2JM	ui16	98 3a
D2JN	ui16	4c 1d
D2JP	ui8 	00
D2JQ	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2JR	si32	4c 1d 00 00
D2JS	si32	4c 1d 00 00
D2JV	flt 	00 00 00 00
D2LC	ui8 	00
D2LG		
D2LI	ui8 	02
D2LR	ui8 	01
D2MI	ui16	00 00
D2MP	ui32	00 00 00 00
D2MV	ui16	00 00
D2PI	si8 	ff
D2PM	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2PR	ui8 	00
D2PS	ui8 	ff
D2PT	ui8 	00
D2Pd	hex_	00 00
D2Pe	hex_	00 00
D2Pi	ui16	00 00
D2Ps	ui8 	ff
D2Pt	ui8 	00
D2Rc	ui16	00 00
D2Rp	ui16	00 00
D2ST	ui8 	00
D2St	hex_	00 00
D2UI	hex_	26 3f b9 14 4d 25 c7 0e fd a5 1b 59 ad 33 ae 6d
D2VD	flt 	00 00 00 00
D2VM	ui16	00 00
D2VR	ui16	00 00
D2VX	ui16	00 00
D2Vb	ui8 	00
D2Vd	hex_	00 00
D2Ve	hex_	00 00
D2Vm	ui8 	00
D2Vn	ui8 	00
D2WS	flag	00
D2if	ch8*	00 00 00 00 00 00 00 00 00 00 00 00
D2ih	ch8*	00 00 00 00 00 00 00 00 00 00 00 00
D2ii	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2im	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2in	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2is	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2lg	hex_	a1 1a 03 bb 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D2li	ui8 	04
D2pd	flag	00
D2pi	flag	00
D2pr	ui8 	00
D2pt	ui8 	00
D3Ac	hex_	00 00 00 00
D3Au	ui8 	00
D3BD	ui8 	00
D3BI	ui16	00 00
D3CA	ui16	00 00
D3CD	ui16	00 00
D3CF	ui16	00 00
D3CR	ui16	00 00
D3CS	ui8 	00
D3CT	ui8 	00
D3CU	ui8 	00
D3CX	ui8 	00
D3CY	ui8 	00
D3CZ	ui8 	00
D3Cb	ui8 	00
D3Cc	ui16	00 00
D3Cf	ui16	00 00
D3Ci	ui16	00 00
D3Cm	ui16	00 00
D3Cn	ui16	00 00
D3Cr	ui16	00 00
D3Cs	ui16	00 00
D3Ct	ui16	00 00
D3Cv	ui16	00 00
D3Cw	ui16	00 00
D3DA	hex_	00 09
D3DE	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3DI	ui8 	05
D3DP	hex_	00 00 00 00 00 00 00 00
D3DR	flag	01
D3Dp	flag	00
D3EC	ui8 	00
D3EF	hex_	00 00 00 00
D3Ep	flag	00
D3FC	ui32	00 00 00 00
D3FS	hex_	00
D3FV	hex_	00 30 63 00
D3IQ		
D3IR	ui16	00 00
D3JA	ui32	4c 1d 00 00
D3JB	ui32	4c 1d 00 00
D3JD	{jst	00 00 00 00 00 00 00 00 4c 1d 4c 1d 00 00 00 00 4c 1d 00 00 00
D3JE	ui32	00 00 00 00
D3JF	ui32	00 00 00 00
D3JG	ui32	00 00 00 00
D3JI	flt 	00 00 00 00
D3JM	ui16	98 3a
D3JN	ui16	4c 1d
D3JP	ui8 	00
D3JQ	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3JR	si32	4c 1d 00 00
D3JS	si32	4c 1d 00 00
D3JV	flt 	00 00 00 00
D3LC	ui8 	00
D3LG		
D3LI	ui8 	5a
D3LR	ui8 	01
D3MI	ui16	00 00
D3MP	ui32	00 00 00 00
D3MV	ui16	00 00
D3PI	si8 	00
D3PM	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3PR	ui8 	00
D3PS	ui8 	ff
D3PT	ui8 	00
D3Pd	hex_	00 00
D3Pe	hex_	00 00
D3Pi	ui16	00 00
D3Ps	ui8 	ff
D3Pt	ui8 	00
D3Rc	ui16	00 00
D3Rp	ui16	00 00
D3ST	ui8 	00
D3St	hex_	00 00
D3UI	hex_	c3 ae b2 14 de 1f c7 52 35 bd ad 6f 8a 4a 1d 4c
D3VD	flt 	00 00 00 00
D3VM	ui16	00 00
D3VR	ui16	00 00
D3VX	ui16	00 00
D3Vb	ui8 	00
D3Vd	hex_	00 00
D3Ve	hex_	00 00
D3Vm	ui8 	00
D3Vn	ui8 	00
D3WS	flag	00
D3if	ch8*	00 00 00 00 00 00 00 00 00 00 00 00
D3ih	ch8*	00 00 00 00 00 00 00 00 00 00 00 00
D3ii	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3im	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3in	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3is	ch8*	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3lg	hex_	1a 03 bb a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
D3li	ui8 	04
D3pd	flag	00
D3pi	flag	00
D3pr	ui8 	00
D3pt	ui8 	00
DBCF	ui8 	86
DBTE	ui8 	01
DCAL		
DPBS	ui32	30 75 00 00
DPBW	ui32	30 75 00 00
EVPF	hex_	00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00
IBLR	flt 	00 00 00 00
ID0R	flt 	66 d5 a5 3b
IIDR	flt 	4a 62 85 39
IKBC	flt 	00 00 00 00
IMVC	flt 	68 90 97 3f
IO3R	flt 	00 00 00 00
IO5R	flt 	00 00 00 00
