#KEY	ui32	00 00 07 3a
oft1	flt 	00 00 70 41
oft2	flt 	00 00 70 41
oft3	flt 	00 00 f0 41
oft4	flt 	00 00 16 44
oft5	flt 	00 00 16 44
oftb	flt 	00 00 80 42
oisu	flt 	00 00 c8 42
oisy	flt 	00 00 c8 42
okce	flt 	00 00 c8 42
okcq	flt 	00 00 c8 42
okde	flt 	00 00 c8 42
okdq	flt 	00 00 c8 42
oki0	flt 	00 00 00 3e
oki1	flt 	00 00 00 3e
okiT	flt 	8f c2 75 3d
okia	flt 	71 3d 0a 3e
okic	flt 	cd cc cc 3d
okid	flt 	00 00 00 40
okie	flt 	ec 51 b8 3d
okin	flt 	8f c2 75 3d
okiq	flt 	8f c2 f5 3d
okix	flt 	b6 f3 fd 3d
okiy	flt 	b6 f3 fd 3d
okp0	flt 	00 00 b8 40
okp1	flt 	00 00 b8 40
okpT	flt 	00 00 40 40
okpa	flt 	98 4c 15 3f
okpc	flt 	00 00 20 41
okpd	flt 	00 00 a0 40
okpe	flt 	cd cc cc 3e
okpn	flt 	00 00 00 40
okpq	flt 	00 00 00 00
okpx	flt 	fe 65 b5 40
okpy	flt 	fe 65 b5 40
oof0	flt 	00 00 00 00
oof1	flt 	00 00 00 00
oof2	flt 	00 00 00 00
oof3	flt 	00 00 00 00
oof4	flt 	00 00 00 00
oof5	flt 	00 00 00 00
oof6	flt 	00 00 00 00
oof7	flt 	00 00 00 00
oof8	flt 	00 00 00 00
oof9	flt 	00 00 00 00
oofa	flt 	00 00 00 00
oofb	flt 	00 00 00 00
oofc	flt 	00 00 00 00
oofd	flt 	00 00 00 00
oofe	flt 	00 00 00 00
ooff	flt 	00 00 00 00
oofg	flt 	00 00 00 00
oofh	flt 	00 00 00 00
oofi	flt 	00 00 00 00
oofj	flt 	00 00 00 00
oofk	flt 	00 00 00 00
oofl	flt 	00 00 00 00
oofm	flt 	00 00 00 00
oofn	flt 	00 00 00 00
oofo	flt 	00 00 00 00
oofp	flt 	00 00 00 00
oofq	flt 	00 00 00 00
oofr	flt 	00 00 00 00
otQT	flt 	00 00 00 00
otSC	flt 	00 00 e0 40
ov00	flt 	c3 f5 88 3f
ov01	flt 	cd cc cc 3e
ov02	flt 	00 00 00 3f
ov10	flt 	0a d7 a3 bc
ov11	flt 	d7 a3 f0 3e
ov12	flt 	14 ae 07 3f
ov20	flt 	7b 14 3e 40
ov21	flt 	00 00 e0 3f
ov22	flt 	00 00 40 bf
ovB0	flt 	00 00 60 41
ovC0	flt 	00 00 10 c1
ovC1	flt 	00 00 60 c0
ovC2	flt 	00 00 c0 bf
ovC3	flt 	00 00 00 bf
ovC4	flt 	00 00 00 3f
ovC5	flt 	00 00 c0 3f
ovC6	flt 	00 00 20 40
ovC7	flt 	00 00 60 40
ovEt	flt 	00 00 38 41
ovFs	flt 	00 00 c8 42
ovFt	flt 	00 00 00 00
ovFu	flt 	00 00 00 00
ovM0	flt 	00 00 c6 c2
ovM1	flt 	00 00 70 c1
ovM2	flt 	00 00 a0 c0
ovM3	flt 	cd cc cc bd
ovM4	flt 	00 00 80 3f
ovM5	flt 	00 00 a0 41
ovM6	flt 	00 00 20 42
ovM7	flt 	00 00 c6 42
ovMr	flt 	00 00 48 41
ovPT	flt 	00 00 00 3f
ovQX	flt 	00 00 16 44
ovSB	flt 	66 66 a6 3f
ovca	flt 	00 00 80 3f
ovcb	flt 	00 00 c0 40
ovma	flt 	00 00 00 00
ovmb	flt 	00 00 80 3f
ovmx	flt 	00 00 96 42
ovmy	flt 	00 00 96 42
ovmz	flt 	00 00 80 3f
ovp0	flt 	00 00 00 00
ovp1	flt 	00 00 20 42
ovp2	flt 	00 00 30 42
ovp3	flt 	00 00 34 42
ovp4	flt 	00 00 44 42
ovp5	flt 	00 00 64 42
ovp6	flt 	00 00 00 00
ovp7	flt 	00 00 20 42
ovp8	flt 	00 00 28 42
ovp9	flt 	00 00 34 42
ovpa	flt 	00 00 44 42
ovpb	flt 	00 00 6c 42
ovq0	flt 	00 00 00 00
ovq1	flt 	00 00 20 42
ovq2	flt 	00 00 28 42
ovq3	flt 	00 00 2c 42
ovq4	flt 	00 00 3c 42
ovq5	flt 	00 00 5c 42
ovq6	flt 	00 00 00 00
ovq7	flt 	00 00 20 42
ovq8	flt 	00 00 20 42
ovq9	flt 	00 00 2c 42
ovqa	flt 	00 00 3c 42
ovqb	flt 	00 00 7c 42
pcAD	hex_	00 00 00 00 00 00 00 00
pcBK	hex_	00 00 00 00 00 00 00 00
pcBS	hex_	00 00 00 00 00 00 00 00
pcHS	ioft	00 00 00 00 00 00 00 00
pcIO	hex_	00 00 00 00 00 00 00 00
pcLD	hex_	00 00 00 00 00 00 00 00
pcRT	hex_	00 00 00 00 00 00 00 00
pmDB	ui32	00 ff 00 00
pmFC	hex_	00 00
pmFL	hex_	00 00
pmHC	ui8 	03
pmVC	ui32	00 01 00 00
rARA	ui32	00 00 00 00
rARa	ui32	00 00 00 00
rASO	ui32	00 00 00 00
rASo	ui32	00 00 00 00
rBK0	ui32	00 00 00 00
rBK1	ui32	00 00 00 00
rBK2	ui32	00 00 00 00
rBK3	ui32	00 00 00 00
rBK4	ui32	00 00 00 00
rBK5	ui32	00 00 00 00
rBK6	ui32	00 00 00 00
rBK7	ui32	00 00 00 00
rBK8	ui32	00 00 00 00
rBK9	ui32	00 00 00 00
rBKa	ui32	00 00 00 00
rBKb	ui32	00 00 00 00
rBKd	ui32	00 00 00 00
rBSW	ui32	00 00 00 00
rCPU	ui32	6f 04 00 00
rCTL	ui32	00 00 00 00
rLD0	ui32	00 00 00 00
rLD1	ui32	00 00 00 00
rLD2	ui32	00 00 00 00
rLD3	ui32	00 00 00 00
rLD5	ui32	00 00 00 00
rLD7	ui32	00 00 00 00
rLD8	ui32	00 00 00 00
rLDa	ui32	00 00 00 00
rLDb	ui32	00 00 00 00
rLDd	ui32	00 00 00 00
rLDe	ui32	00 00 00 00
rLDg	ui32	00 00 00 00
rLDk	ui32	00 00 00 00
rLOW	ui32	e9 02 00 00
rRAM	ui32	79 04 00 00
rSOC	ui32	2f 03 00 00
rVD2	ui32	00 00 00 00
rVDA	ui32	00 00 00 00
rVDB	ui32	00 00 00 00
rVDF	ui32	25 03 00 00
rWRM	ui32	00 00 00 00
rbk5	ui32	00 00 00 00
rbk6	ui32	00 00 00 00
rbk8	ui32	00 00 00 00
rbka	ui32	00 00 00 00
rbkc	ui32	00 00 00 00
rbke	ui32	00 00 00 00
rld4	ui32	00 00 00 00
rld6	ui32	00 00 00 00
rldc	ui32	00 00 00 00
rldf	ui32	00 00 00 00
rldh	ui32	00 00 00 00
rldi	ui32	00 00 00 00
sEEC	ui64	00 00 00 00 00 00 00 00
sEOC	ui16	04 00
sPST	ui32	e7 c1 66 69
si00	flt 	c8 85 1e 42
si01	flt 	02 93 be 40
si02	flt 	55 90 87 3c
si05	flt 	2b b2 da 3d
si06	flt 	42 60 65 3f
si07	flt 	00 00 9a 42
si0A	flt 	30 33 01 42
si12	flt 	00 da c9 3e
sit1	flt 	00 00 00 00
sit2	flt 	00 00 00 00
sit3	flt 	00 00 00 00
uu00	flt 	00 00 00 00
uuDS	flt 	00 00 c2 42
uuM8	flt 	00 00 48 41
uuM9	flt 	00 00 60 41
uuMR	flt 	00 00 60 41
uuNn	flt 	00 00 94 42
uuP0	flt 	00 00 3c 42
uuP1	flt 	00 00 34 42
uuPM	flt 	00 00 38 41
uuPN	flt 	00 00 00 00
uuPT	flt 	00 00 5c 42
uuPa	flt 	00 00 48 43
uuPz	flt 	0a d7 14 42
uuU0	flt 	00 00 18 42
uuU1	flt 	00 00 18 42
uuV1	flt 	00 00 00 00
uuV2	flt 	00 00 00 00
uuV3	flt 	00 00 00 00
uupa	flt 	00 00 d2 42
voDR	flt 	00 00 82 42
voP0	flt 	00 00 82 42
voPi	si32	00 00 00 00
voPn	flt 	00 00 82 42
voPp	flt 	00 00 82 42
voTi	si32	00 00 00 00
voTj	si32	00 00 00 00
voTk	si32	00 00 00 00
voTn	flt 	00 00 c8 42
voTp	flt 	00 00 c8 42
voTs	flt 	00 00 c8 42
voU0	flt 	00 00 f0 41
voUi	si32	00 00 00 00
voUn	flt 	00 00 f0 41
voUp	flt 	00 00 f0 41
vop0	flt 	00 00 00 00
vou0	flt 	00 00 00 00
w000	si32	00 00 00 00
w001	si32	00 00 00 00
xDPE	flt 	d3 94 03 41
xDPs	flt 	00 00 82 42
xLPM	flt 	00 00 82 42
xPPT	flt 	00 00 82 42
xUPT	flt 	00 00 f0 41
zEAO	hex_	01 02 33 00 00 00 dd 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
zES0	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
zETM		
zSAa	ui64	ce f1 19 00 c5 1b 00 00
zSAc	ui32	d9 2e 00 00
zSAi	ui32	76 00 00 00
zSBa	ui64	4a 7b 88 04 00 00 00 00
zSBc	ui32	80 0d 00 00
zSBi	si32	0f d5 ff ff
zSDa	si64	29 eb 73 fb ff ff ff ff
zSDc	ui32	ec 4a 00 00
zSEi	ui64	77 c6 e0 f3 06 00 00 00
zSEj	ui32	1d 00 00 00
zSEm	ch8*	72 6a 34 72 70 71 75 38 70 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
zSEs	ui32	93 00 00 00
zSEw	ui64	15 a9 33 02 00 00 00 00
zSLa	si64	15 71 93 07 00 00 00 00
zSLc	ui32	5b b9 00 00
zSLi	si32	5b 2b 00 00
zSPa	ui64	88 d7 8f 07 19 00 00 00
zSPc	ui32	f2 2e 00 00
zSPe	ui32	00 00 00 00
zSPi	ui32	6a 00 00 00
zSPm	ui32	da 4d 00 00
zSPn	ui32	05 00 00 00
zSPp		
zSPq		
zSPr		
zSPs	si32	00 00 00 00
zSPt	ui32	00 00 00 00
zSPu	si64	00 00 00 00 00 00 00 00
zSQ0	ui32	00 00 00 00
zSR0	ui32	00 00 00 00
zSS0	ui32	00 00 00 00
zST0	ui8 	00
zSU0	si32	00 00 00 00
zSV0	ui64	00 00 00 00 00 00 00 00
zSW0	ui32	00 00 00 00
zSX0	hex_	00 00 00 00 00 00 00 00 00 00 00 00 00
